User ID,Prompt
00001097,"Previously, the user has taken the following courses: Financing and Profiting from Innovation for Corporate Entrepreneurs, Private Equity and Venture Capital, New Venture Finance: Startup Funding for Entrepreneurs, Raising Capital: Credit Tech, Coin Offerings, and Crowdfunding. In the future, the user wants to take ""Introduction to Supply Chain Finance & Blockchain Technology"". Generate 3 possible search queries the user might use to find this course without mentioning its exact name."
00007330,"Previously, the user has taken the following courses: A Life of Happiness and Fulfillment, Foundations of Mindfulness, Planning a Patient Safety or Quality Improvement Project (Patient Safety III), Effective Problem-Solving and Decision-Making, Effective Problem-Solving and Decision-Making. In the future, the user wants to take ""Designing for Sustainment: Keeping Improvement Work on Track (Patient Safety IV)"". Generate 3 possible search queries the user might use to find this course without mentioning its exact name."
000354de,"Previously, the user has taken the following courses: Particle Dynamics, Quantum Mechanics, Emergent Phenomena in Science and Everyday Life, The Brain and Space. In the future, the user wants to take ""Biohacking Your Brain's Health"". Generate 3 possible search queries the user might use to find this course without mentioning its exact name."
0009dc6f,"Previously, the user has taken the following courses: Systems Thinking In Public Health, IS/IT Governance, Accounting and Finance for IT professionals, Accounting, Business and Society:  The Multi-faceted Role of Accounting. In the future, the user wants to take ""Managerial Economics and Business Analysis Capstone"". Generate 3 possible search queries the user might use to find this course without mentioning its exact name."
000a07ca,"Previously, the user has taken the following courses: Towards language universals through lexical semantics: introduction to lexical and semantic typology, Big data and Language 1, Machine Learning With Big Data, Machine Learning for Data Analysis. In the future, the user wants to take ""Machine Learning Foundations: A Case Study Approach"". Generate 3 possible search queries the user might use to find this course without mentioning its exact name."
000a5d1c,"Previously, the user has taken the following courses: Global Warming I: The Science and Modeling of Climate Change, Our Earth: Its Climate, History, and Processes, Water in the Western United States, The Challenges of Global Health. In the future, the user wants to take ""An Introduction to Global Health"". Generate 3 possible search queries the user might use to find this course without mentioning its exact name."
000b1b34,"Previously, the user has taken the following courses: Civic Engagement in American Democracy, Leadership Through Social Influence, Leadership in 21st Century Organizations, Leadership Through Marketing. In the future, the user wants to take ""Organizational Leadership Capstone"". Generate 3 possible search queries the user might use to find this course without mentioning its exact name."
000c0904,"Previously, the user has taken the following courses: Portfolio and Risk Management, Portfolio and Risk Management, Fundamentals of Engineering Exam Review, Financial Engineering and Risk Management Part II, Autodesk Certified Professional: Inventor for Mechanical Design Exam Prep. In the future, the user wants to take ""Designing the Future of Work"". Generate 3 possible search queries the user might use to find this course without mentioning its exact name."
000d122a,"Previously, the user has taken the following courses: Capstone: Build a Winning Investment Portfolio, Investment Risk Management, Creating a Portfolio, Portfolio and Risk Management, Portfolio and Risk Management. In the future, the user wants to take ""Investment Management in an Evolving and Volatile World by HEC Paris and AXA Investment Managers"". Generate 3 possible search queries the user might use to find this course without mentioning its exact name."
000d899c,"Previously, the user has taken the following courses: Strategic Business Management - Macroeconomics, Pricing Strategy in Practice, Marketing Strategy Capstone Project, Marketing Mix Implementation Capstone. In the future, the user wants to take ""Value Chain Management Capstone"". Generate 3 possible search queries the user might use to find this course without mentioning its exact name."
